date_of_Payment,account_Number,branch_ID,bank_ID,transaction_ID,transaction_Amount,mode_of_Transfer1,date_of_Submission,invoice_Due_Date,remittance_Number,total_due_Amount,amount_Paid,balance_Amount,mode_of_Transfer2,status
28/12/2018,4640000000000000,CCS08,RBC012,CCS60033,4450,account to account,09/01/2019,16/01/2019,PMT-100033,5324,4450,874,account to account,Rejected
01/01/2019,4489858858391470,SIL362,WF012,CCS60034,1892,"cash,cash to account",10/01/2019,12/01/2019,PMT-100034,2460,1892,568,"cash,cash to account",Rejected
25/01/2020,4370000000000000,ITS03,BMO012,EX160035,7157,"cash to account,credit/debit card service",28/01/2020,15/02/2020,PMT-100035,7577,7157,420,"cash to account,credit/debit card service",Approved
25/03/2019,4689180256780640,ITS03,AE012,TRN60036,24634,"card,cash to cash",25/03/2019,21/03/2019,PMT-100036,25323,24634,689,"card,cash to cash",Approved
29/10/2019,4240000000000000,GPA01,BNP012,CCS60037,7509,"cash,debit/credit card",31/10/2019,05/11/2019,PMT-100037,8351,7509,842,"cash,debit/credit card",Rejected
25/03/2019,4284399850715240,SIL362,AE012,TRN60038,2365,"account to account,door to door",25/03/2019,12/04/2019,PMT-100038,3182,2365,817,door to door,Approved
16/03/2019,4360000000000000,SIL362,MS012,TRN60039,9606,cash,28/03/2019,17/04/2019,PMT-100039,9684,9606,78,cash,Rejected
06/09/2019,4418568818305560,BEL16,BMO012,EX160040,39480,account to account,15/09/2019,22/09/2019,PMT-100040,39595,39480,115,account to account,Rejected
19/10/2019,4480000000000000,SIL362,UBS012,ADB60041,19467,door to door,28/10/2019,12/11/2019,PMT-100041,19662,19467,195,door to door,Approved
08/01/2019,4696544390601290,SIL362,BOA012,CCS60042,7665,"cash to cash,credit/debit card service",12/01/2019,14/01/2019,PMT-100042,8144,7665,479,"cash to cash,credit/debit card service",Approved
15/10/2019,4440000000000000,SIL362,BOA012,TRN60043,8980,"account,card,cash to cash",15/10/2019,27/10/2019,PMT-100043,9292,8980,312,"account,card,cash to cash",Approved
05/01/2019,4530000000000000,ITS03,BMO012,CCS60044,20383,"account,account to cash",05/01/2019,21/01/2019,PMT-100044,20526,20383,143,"account,account to cash",Rejected
18/07/2019,4465487619421600,HEB18,BARC012,EX060045,11413,account to account,25/07/2019,05/08/2019,PMT-100045,12143,11413,730,account to account,Rejected
23/12/2019,4610000000000000,ITS03,BARC012,ADB60046,34790,cash,28/12/2019,11/01/2020,PMT-100046,35260,34790,470,cash,Rejected
07/01/2020,4810000000000000,ITS03,HSBC012,CCS60047,14113,"account,account to cash",25/01/2020,10/02/2020,PMT-100047,14810,14113,697,"account,account to cash",Approved
06/12/2019,4696544390601290,SIL362,JPM012,TRN60048,17408,"account,cash to cash",15/12/2019,22/12/2019,PMT-100048,17469,17408,61,"account,cash to cash",Approved
05/05/2019,4378290266829730,CCS08,BOA012,TRN60049,4138,"card,cash to cash",15/05/2019,17/05/2019,PMT-100049,4413,4138,275,"cash to cash,credit/debit card service",Approved
28/12/2018,4820000000000000,PAN27,GMS012,CCS60050,36732,"cash,debit/credit card",10/01/2019,26/01/2019,PMT-100050,37425,36732,693,"cash,debit/credit card",Approved
08/01/2019,4530000000000000,MAR263,GMS012,TRN60051,9812,"cash to cash,credit/debit card service",04/01/2019,12/01/2019,PMT-100051,10796,9812,984,"cash to cash,credit/debit card service",Rejected
11/09/2019,4810000000000000,GPA01,RBC012,EX060052,18783,prepaid card,15/09/2019,28/09/2019,PMT-100052,19579,18783,796,prepaid card,Rejected
04/01/2019,4730056511858720,HEB18,BOA012,TRN60053,26653,cash to account,04/01/2019,15/01/2019,PMT-100053,27182,26653,529,cash to account,Rejected
15/02/2020,4387350758070690,MAJ962,HSBC012,CCS60054,24383,door to door,25/02/2020,16/03/2020,PMT-100054,24842,24383,459,door to door,Rejected
28/09/2019,4689180256780640,ITS03,GMS012,TRN60055,15125,"account,cash to cash",28/09/2019,01/10/2019,PMT-100055,16105,15125,980,"account,cash to cash",Rejected
13/02/2020,4310965278942460,MAJ962,AE012,EX060056,20327,account to account,25/02/2020,07/03/2020,PMT-100056,20683,20327,356,account to account,Rejected
15/06/2019,4378290266829730,SIL362,MS012,TRN60057,25647,"account,card,cash to cash",15/06/2019,03/07/2019,PMT-100057,26479,25647,832,"account,card,cash to cash",Rejected
15/06/2019,4357820946481790,MAJ962,JPM012,CCS60058,3808,"cash to cash,credit/debit card service",25/06/2019,12/07/2019,PMT-100058,4396,3808,588,"cash to cash,credit/debit card service",Rejected
10/10/2019,4630000000000000,ITS03,MS012,CCS60059,15857,"account to account,door to door",28/09/2019,24/09/2019,PMT-100059,16316,15857,459,"account to account,door to door",Rejected
05/01/2019,4275384634746050,CCS08,WF012,TRN60060,33386,eur service,05/01/2019,20/01/2019,PMT-100060,34209,33386,823,eur service,Approved
18/07/2019,4270000000000000,MAJ962,WF012,ADB60061,24074,usd service,31/07/2019,02/08/2019,PMT-100061,24852,24074,778,usd service,Approved
25/07/2019,4628703163321050,MAJ962,SSC012,TRN60062,8498,mobile,25/07/2019,03/08/2019,PMT-100062,9387,8498,889,mobile,Rejected
03/01/2019,4523540557614720,GPA01,BOA012,CCS60063,28929,"cash,debit/credit card",03/01/2019,05/01/2019,PMT-100063,29573,28929,644,"cash,debit/credit card",Approved
09/01/2020,4865123733298850,SIL362,MS012,EX060064,39319,"bank account transfer,debit card",25/01/2020,08/02/2020,PMT-100064,39753,39319,434,"bank account transfer,debit card",Rejected
25/10/2019,4689180256780640,SIL362,Nort012,ADB60065,33840,"cash,debit/credit card",25/10/2019,02/11/2019,PMT-100065,34300,33840,460,"cash,debit/credit card",Approved
11/12/2019,4280000000000000,HEB18,MS012,CCS60066,17102,"bank account transfer,debit card",25/12/2019,04/01/2020,PMT-100066,17361,17102,259,"bank account transfer,debit card",Approved
09/05/2019,4530000000000000,PAN27,CITI012,CCS60067,13368,account to account,25/05/2019,07/06/2019,PMT-100067,13831,13368,463,account to account,Approved
02/08/2019,4465487619421600,BEL16,BMO012,EX060068,20823,cash to account,15/08/2019,29/08/2019,PMT-100068,21415,20823,592,cash to account,Rejected
15/11/2019,4130000000000000,PAN27,HSBC012,ADB60069,2881,prepaid card,15/11/2019,04/12/2019,PMT-100069,3723,2881,842,prepaid card,Rejected
07/08/2019,4320000000000000,CCS08,CITI012,TRN60070,5771,mobile money,15/08/2019,30/08/2019,PMT-100070,6577,5771,806,mobile money,Rejected
03/01/2019,4370000000000000,SIL362,UBS012,CCS60071,599,door to account,03/01/2019,16/01/2019,PMT-100071,1514,599,915,door to account,Approved
02/06/2019,4458237294973340,MAR263,RBC012,EX060072,32704,door to account,15/06/2019,18/06/2019,PMT-100072,33073,32704,369,door to account,Approved
05/01/2020,4300000000000000,SIL362,WF012,ADB60073,34751,cash,20/01/2020,03/02/2020,PMT-100073,34999,34751,248,cash,Rejected
28/10/2019,4550000000000000,SIL362,UBS012,CCS60074,27202,cash,15/11/2019,02/12/2019,PMT-100074,28130,27202,928,cash,Rejected
25/02/2020,4480000000000000,MAR263,BOA012,TRN60075,39656,cash to account,25/02/2020,02/03/2020,PMT-100075,39894,39656,238,cash to account,Rejected
28/09/2019,4904477933916270,SIL362,BARC012,EX060076,20408,cash,15/10/2019,30/10/2019,PMT-100076,21159,20408,751,cash,Rejected
10/12/2019,4860000000000000,GPA01,BARC012,ADB60077,23488,cash to account,28/11/2019,08/12/2019,PMT-100077,23993,23488,505,cash to account,Approved
15/03/2020,4571487833576270,SIL362,WF012,CCS60078,19261,cash,15/03/2020,26/03/2020,PMT-100078,19350,19261,89,cash,Approved
15/10/2019,4860000000000000,CCS08,JPM012,CCS60079,18036,"account,cash to cash",15/10/2019,24/10/2019,PMT-100079,18891,18036,855,"account,cash to cash",Rejected
28/09/2019,4871073844665610,GPA01,BMO012,TRN60080,31545,"account to account,door to door",28/09/2019,04/10/2019,PMT-100080,32533,31545,988,"account to account,door to door",Approved
23/09/2019,4500000000000000,BEL16,MUFG012,ADB60081,37942,mobile money,28/09/2019,03/10/2019,PMT-100081,38094,37942,152,mobile money,Approved
02/05/2019,4500000000000000,SIL362,UBS012,CCS60082,24834,cash,15/05/2019,11/05/2019,PMT-100082,25263,24834,429,cash,Approved
06/07/2019,4300000000000000,ITS03,BARC012,CCS60083,36521,"cash,cash to account",15/07/2019,30/07/2019,PMT-100083,36981,36521,460,"cash,cash to account",Rejected
30/04/2019,4540000000000000,BEL16,WF012,EX160084,36010,door to account,15/05/2019,22/05/2019,PMT-100084,36649,36010,639,door to account,Rejected
17/01/2019,4696544390601290,GPA01,BMO012,TRN60085,39010,cash,07/01/2019,27/01/2019,PMT-100085,39336,39010,326,cash,Rejected
30/01/2020,4760000000000000,MAR263,WF012,CCS60086,37148,"card,cash to cash",15/01/2020,01/02/2020,PMT-100086,37340,37148,192,"card,cash to cash",Approved
18/01/2020,4190000000000000,PAN27,WF012,TRN60087,30058,"cash to cash,credit/debit card service",15/01/2020,24/01/2020,PMT-100087,30733,30058,675,"cash to cash,credit/debit card service",Approved
13/01/2020,4480000000000000,CCS08,JPM012,TRN60088,20359,"account,cash to cash",15/01/2020,04/02/2020,PMT-100088,20958,20359,599,"account,cash to cash",Rejected
07/10/2019,4730000000000000,PAN27,SSC012,EX160089,25317,usd service,15/10/2019,23/10/2019,PMT-100089,26109,25317,792,usd service,Approved
10/09/2019,4820000000000000,BEL16,MS012,ADB60090,1299,cash,25/09/2019,03/10/2019,PMT-100090,2197,1299,898,cash,Rejected
23/06/2019,4850000000000000,CCS08,SSC012,CCS60091,10801,"account,cash to cash",25/06/2019,13/07/2019,PMT-100091,11431,10801,630,"account to account,door to door",Approved
03/08/2019,4275384634746050,GPA01,DEU012,TRN60092,11417,"account,cash to account",15/08/2019,29/08/2019,PMT-100092,11965,11417,548,"account,cash to account",Rejected
04/01/2019,4430000000000000,ITS03,SSC012,CCS60093,30610,"cash to account,credit/debit card service",09/01/2019,27/01/2019,PMT-100093,30781,30610,171,"cash to account,credit/debit card service",Approved
26/12/2019,4458237294973340,MAR263,WF012,EX060094,22124,account to account,15/12/2019,28/12/2019,PMT-100094,22206,22124,82,account to account,Rejected
18/11/2019,4879302596918820,GPA01,BARC012,ADB60095,34936,account to account,15/11/2019,21/11/2019,PMT-100095,35893,34936,957,account to account,Rejected
28/12/2019,4820000000000000,BEL16,MS012,CCS60096,6592,cash,28/12/2019,11/01/2020,PMT-100096,7513,6592,921,cash,Rejected
09/01/2019,4610000000000000,BEL16,WF012,TRN60097,1026,"cash,cash to account",09/01/2019,23/01/2019,PMT-100097,1083,1026,57,"cash,cash to account",Rejected
01/07/2019,4879302596918820,CCS08,AE012,TRN60098,10925,"cash,debit/credit card",15/07/2019,18/07/2019,PMT-100098,11667,10925,742,"cash,debit/credit card",Approved
22/12/2018,4357820946481790,MAR263,BNP012,CCS60099,22767,"cash,debit/credit card",07/01/2019,10/01/2019,PMT-100099,23518,22767,751,"cash,debit/credit card",Rejected
07/11/2019,4460000000000000,BEL16,SSC012,TRN60100,31969,"cash to account,credit/debit card service",15/11/2019,27/11/2019,PMT-100100,32513,31969,544,"cash to account,credit/debit card service",Approved
28/06/2019,4530000000000000,CCS08,MUFG012,EX060101,35549,"account,cash to cash",28/06/2019,08/07/2019,PMT-100101,36531,35549,982,"account,cash to cash",Rejected
12/01/2020,4619488866261890,GPA01,HSBC012,TRN60102,36653,"cash,debit/credit card",15/01/2020,21/01/2020,PMT-100102,37567,36653,914,"cash,debit/credit card",Rejected
13/04/2019,4370000000000000,BEL16,BMO012,CCS60103,13604,cash,25/04/2019,11/05/2019,PMT-100103,13963,13604,359,cash,Rejected
28/04/2019,4486019260868800,BEL16,MUFG012,TRN60104,35286,account to account,28/04/2019,11/05/2019,PMT-100104,36124,35286,838,account to account,Approved
10/01/2019,4502644813502350,MAR263,SSC012,EX060105,20191,"cash,cash to account",10/01/2019,27/01/2019,PMT-100105,20791,20191,600,"cash,cash to account",Approved
21/04/2019,4465487619421600,SIL362,BMO012,TRN60106,7112,"bank account transfer,debit card",28/04/2019,07/05/2019,PMT-100106,8094,7112,982,"bank account transfer,debit card",Rejected
11/11/2019,4470000000000000,MAJ962,JPM012,CCS60107,37335,door to door,28/11/2019,15/12/2019,PMT-100107,37450,37335,115,door to door,Rejected
28/09/2019,4280000000000000,SIL362,BMO012,CCS60108,23771,eur service,28/09/2019,24/09/2019,PMT-100108,24122,23771,351,eur service,Rejected
22/07/2019,4420000000000000,MAR263,MS012,TRN60109,19832,mobile money,28/07/2019,09/08/2019,PMT-100109,19944,19832,112,mobile money,Approved
24/08/2019,4130000000000000,SIL362,DEU012,ADB60110,29940,cash to account,31/08/2019,08/09/2019,PMT-100110,30551,29940,611,cash to account,Rejected
28/03/2019,4275384634746050,PAN27,RBC012,TRN60111,18295,"account to account,door to door",28/03/2019,30/03/2019,PMT-100111,19102,18295,807,"account to account,door to door",Rejected
28/12/2019,4810000000000000,CCS08,DEU012,CCS60112,22605,door to door,28/12/2019,07/01/2020,PMT-100112,23291,22605,686,door to door,Rejected
28/04/2019,4810000000000000,ITS03,BARC012,EX060113,22534,"bank account transfer,cash,mobile money",28/04/2019,30/04/2019,PMT-100113,22905,22534,371,"card,cash to cash",Rejected
31/01/2020,4750000000000000,PAN27,JPM012,ADB60114,19057,mobile,28/01/2020,06/02/2020,PMT-100114,19427,19057,370,mobile,Approved
11/01/2019,4486019260868800,CCS08,BARC012,CCS60115,8822,"account to account,door to door",11/01/2019,13/01/2019,PMT-100115,9767,8822,945,"account to account,door to door",Rejected
12/11/2019,4730056511858720,HEB18,BOA012,CCS60116,14368,cash,15/11/2019,04/12/2019,PMT-100116,14797,14368,429,cash,Rejected
15/12/2019,4387350758070690,ITS03,JPM012,EX060117,37693,"account,card,cash to cash",15/12/2019,02/01/2020,PMT-100117,37867,37693,174,"account,card,cash to cash",Rejected
10/01/2020,4930000000000000,SIL362,MUFG012,ADB60118,32269,account to account,15/01/2020,24/01/2020,PMT-100118,32788,32269,519,account to account,Approved
12/08/2019,4489858858391470,HEB18,BNP012,TRN60119,16551,"card,cash to cash",25/08/2019,05/09/2019,PMT-100119,16928,16551,377,"card,cash to cash",Approved
17/01/2019,4760000000000000,PAN27,CITI012,CCS60120,28029,cash to account,07/01/2019,26/01/2019,PMT-100120,28624,28029,595,cash to account,Rejected
05/07/2019,4461330335322460,GPA01,UBS012,EX060121,6998,door to door,15/07/2019,03/08/2019,PMT-100121,7527,6998,529,door to door,Rejected
04/01/2019,4240000000000000,CCS08,BARC012,ADB60122,18734,"cash,cash to account",04/01/2019,14/01/2019,PMT-100122,18887,18734,153,"cash,cash to account",Rejected
28/09/2019,4190000000000000,SIL362,BMO012,CCS60123,9440,mobile money,28/09/2019,04/10/2019,PMT-100123,10039,9440,599,mobile money,Approved
01/10/2019,4465487619421600,ITS03,Nort012,TRN60124,1065,"bank account transfer,debit card",25/09/2019,10/10/2019,PMT-100124,1803,1065,738,"bank account transfer,debit card",Rejected
25/06/2019,4360000000000000,CCS08,BMO012,EX060125,4386,"cash,debit/credit card",28/06/2019,01/07/2019,PMT-100125,4672,4386,286,"cash,debit/credit card",Approved
30/10/2019,4630000000000000,MAR263,UBS012,ADB60126,11096,"cash to cash,credit/debit card service",15/10/2019,25/10/2019,PMT-100126,11805,11096,709,"cash to cash,credit/debit card service",Approved
04/05/2019,4320000000000000,MAR263,BARC012,CCS60127,35769,"account to account,door to door",15/05/2019,22/05/2019,PMT-100127,36334,35769,565,"account to account,door to door",Approved
21/02/2020,4820000000000000,PAN27,HSBC012,CCS60128,9953,cash,25/02/2020,12/03/2020,PMT-100128,10736,9953,783,cash,Approved
08/11/2019,4489858858391470,PAN27,BOA012,TRN60129,6689,"bank account transfer,cash,mobile money",15/11/2019,20/11/2019,PMT-100129,7098,6689,409,"bank account transfer,cash,mobile money",Approved
28/12/2019,4458237294973340,BEL16,JPM012,ADB60130,33395,prepaid card,28/12/2019,13/01/2020,PMT-100130,33965,33395,570,prepaid card,Approved
18/07/2019,4810000000000000,CCS08,AE012,CCS60131,37131,mobile,15/07/2019,18/07/2019,PMT-100131,37950,37131,819,mobile,Rejected
23/11/2019,4486019260868800,SIL362,BARC012,CCS60132,14867,cash to account,28/11/2019,30/11/2019,PMT-100132,15497,14867,630,cash to account,Rejected
17/08/2019,4180000000000000,GPA01,RBC012,EX160133,3849,door to account,25/08/2019,02/09/2019,PMT-100133,3934,3849,85,"cash,debit/credit card",Rejected
23/03/2019,4502644813502350,SIL362,GMS012,TRN60134,39197,mobile money,28/03/2019,09/04/2019,PMT-100134,39513,39197,316,mobile money,Rejected
26/11/2019,4260000000000000,CCS08,BMO012,CCS60135,30796,prepaid card,28/11/2019,04/12/2019,PMT-100135,30855,30796,59,prepaid card,Approved
16/10/2019,4190000000000000,CCS08,RBC012,TRN60136,35746,cash,28/10/2019,31/10/2019,PMT-100136,35913,35746,167,cash,Approved
04/02/2020,4880000000000000,ITS03,Nort012,TRN60137,23981,prepaid card,25/01/2020,31/01/2020,PMT-100137,24764,23981,783,prepaid card,Approved
25/05/2019,4418568818305560,ITS03,MUFG012,EX160138,5945,"card,cash to cash",25/05/2019,11/06/2019,PMT-100138,6252,5945,307,"card,cash to cash",Approved
30/03/2019,4360000000000000,HEB18,UBS012,ADB60139,35272,"account,account to cash",25/03/2019,30/03/2019,PMT-100139,36049,35272,777,"account,account to cash",Rejected
25/08/2019,4400000000000000,BEL16,AE012,CCS60140,31441,"cash to cash,credit/debit card service",25/08/2019,01/09/2019,PMT-100140,32283,31441,842,"cash to cash,credit/debit card service",Approved
08/01/2020,4458237294973340,MAR263,BMO012,TRN60141,19569,"cash to cash,credit/debit card service",25/01/2020,06/02/2020,PMT-100141,20008,19569,439,"cash to cash,credit/debit card service",Approved
28/12/2019,4170000000000000,ITS03,BMO012,CCS60142,4817,"cash to account,credit/debit card service",28/12/2019,30/12/2019,PMT-100142,5292,4817,475,"cash to account,credit/debit card service",Rejected
25/04/2019,4590000000000000,MAJ962,BNP012,EX060143,22904,"card,cash to cash",25/04/2019,30/04/2019,PMT-100143,22987,22904,83,"card,cash to cash",Approved
12/08/2019,4550000000000000,MAJ962,RBC012,ADB60144,30535,"account,cash to cash",15/08/2019,04/09/2019,PMT-100144,31248,30535,713,"account,cash to cash",Approved
16/06/2019,4387350758070690,BEL16,BMO012,CCS60145,38671,"account,cash to account",25/06/2019,14/07/2019,PMT-100145,39262,38671,591,"account,cash to account",Rejected
17/01/2019,4689180256780640,CCS08,BNP012,TRN60146,19191,mobile money,05/01/2019,20/01/2019,PMT-100146,20142,19191,951,"bank account transfer,cash,mobile money",Approved
15/03/2020,4310965278942460,ITS03,BOA012,TRN60147,19698,"account to account,door to door",15/03/2020,31/03/2020,PMT-100147,19775,19698,77,"account to account,door to door",Rejected
29/01/2020,4180000000000000,BEL16,UBS012,CCS60148,34467,door to account,31/01/2020,05/02/2020,PMT-100148,34979,34467,512,door to account,Rejected
04/01/2019,4430000000000000,HEB18,SSC012,TRN60149,18498,eur service,11/01/2019,22/01/2019,PMT-100149,18871,18498,373,eur service,Approved
27/06/2019,4489858858391470,BEL16,BARC012,EX060150,34288,"account,card,cash to cash",15/07/2019,30/07/2019,PMT-100150,34843,34288,555,"account,card,cash to cash",Approved
25/10/2019,4450000000000000,HEB18,MS012,TRN60151,14307,account to account,25/10/2019,21/10/2019,PMT-100151,14817,14307,510,cash to account,Approved
25/08/2019,4871073844665610,SIL362,DEU012,CCS60152,4972,mobile,25/08/2019,14/09/2019,PMT-100152,5905,4972,933,mobile,Approved
12/02/2020,4270000000000000,PAN27,BARC012,TRN60153,5058,eur service,25/02/2020,16/03/2020,PMT-100153,5406,5058,348,eur service,Rejected
29/03/2019,4387350758070690,BEL16,GMS012,EX060154,36661,cash,15/04/2019,18/04/2019,PMT-100154,36910,36661,249,cash,Rejected
12/01/2019,4502644813502350,PAN27,BMO012,TRN60155,35970,eur service,12/01/2019,29/01/2019,PMT-100155,36230,35970,260,eur service,Rejected
19/01/2019,4850000000000000,GPA01,WF012,CCS60156,8561,"account to account,door to door",10/01/2019,30/01/2019,PMT-100156,9033,8561,472,"account to account,door to door",Approved
17/09/2019,4860000000000000,SIL362,GMS012,CCS60157,26832,mobile money,28/09/2019,30/09/2019,PMT-100157,27248,26832,416,mobile money,Rejected
18/07/2019,4486019260868800,ITS03,JPM012,TRN60158,31663,"cash to cash,credit/debit card service",31/07/2019,16/08/2019,PMT-100158,31971,31663,308,"cash to cash,credit/debit card service",Approved
14/04/2019,4430000000000000,CCS08,CITI012,ADB60159,38144,"account to account,door to door",28/04/2019,09/05/2019,PMT-100159,38552,38144,408,"account to account,door to door",Approved
15/09/2019,4400000000000000,ITS03,RBC012,TRN60160,32234,"card,cash to cash",15/09/2019,29/09/2019,PMT-100160,32495,32234,261,"card,cash to cash",Rejected
05/12/2019,4523540557614720,SIL362,BMO012,CCS60161,10415,"account to account,door to door",15/12/2019,02/01/2020,PMT-100161,10792,10415,377,"account to account,door to door",Rejected
20/08/2019,4300000000000000,GPA01,Nort012,EX060162,32659,"cash to account,credit/debit card service",28/08/2019,10/09/2019,PMT-100162,32709,32659,50,"cash to account,credit/debit card service",Approved
03/01/2019,4540000000000000,MAR263,Nort012,ADB60163,22823,"account,cash to cash",06/01/2019,24/01/2019,PMT-100163,22980,22823,157,"account,cash to cash",Approved
09/07/2019,4461330335322460,SIL362,MUFG012,CCS60164,9185,door to door,25/06/2019,27/06/2019,PMT-100164,10025,9185,840,door to door,Approved
13/10/2019,4610000000000000,MAR263,GMS012,CCS60165,31470,door to account,15/10/2019,17/10/2019,PMT-100165,32176,31470,706,door to account,Rejected
15/02/2020,4865123733298850,ITS03,Nort012,EX060166,20046,usd service,15/02/2020,01/03/2020,PMT-100166,20746,20046,700,usd service,Approved
08/01/2020,4880000000000000,ITS03,SSC012,ADB60167,17807,account to account,28/12/2019,31/12/2019,PMT-100167,18336,17807,529,account to account,Rejected
22/12/2018,4284399850715240,MAR263,CITI012,TRN60168,30443,"card,cash to cash",09/01/2019,29/01/2019,PMT-100168,30507,30443,64,"card,cash to cash",Rejected
15/03/2020,4840000000000000,SIL362,BOA012,CCS60169,34079,"bank account transfer,debit card",15/03/2020,02/04/2020,PMT-100169,34451,34079,372,"bank account transfer,debit card",Approved
07/05/2019,4810000000000000,HEB18,CITI012,EX060170,34556,account to account,15/05/2019,17/05/2019,PMT-100170,35120,34556,564,account to account,Approved
